rank,event_id,date,year,event_type,score,mean_distance,visibility_modifier
1,C001,BLINDED,BLINDED,BLINDED,0.07588394335721854,0.09741199404007515,0.779
2,C002,BLINDED,BLINDED,BLINDED,0.07994972384072115,0.09894767802069449,0.808
3,C003,BLINDED,BLINDED,BLINDED,0.11581820431585517,0.14124171258031118,0.8200000000000001
4,C004,BLINDED,BLINDED,BLINDED,0.2589672867835186,0.30341802786586836,0.8534999999999999
5,C005,BLINDED,BLINDED,BLINDED,0.2818896199116051,0.3256956902502659,0.8654999999999999
