group,label,family,section,lag,observed,null_mean,null_q025,null_q975,z_score
voynich_global,voynich_global,voynich,global,1,-0.017334441566557453,-3.742364900323952e-05,-0.0010927425313488337,0.001146951742551694,-31.730323246767696
voynich_global,voynich_global,voynich,global,2,-0.03289200216964746,7.970653283712104e-05,-0.0010036011317603732,0.001272650153851737,-51.020494057672224
voynich_global,voynich_global,voynich,global,3,-0.03484957485949236,-0.00017655275467981984,-0.001243368387804672,0.0009859076978580156,-60.90251992613465
voynich_global,voynich_global,voynich,global,4,0.0006626165474076656,-4.1044809690797824e-05,-0.0012743055737047815,0.0012838934541796049,0.9946198330505547
voynich_global,voynich_global,voynich,global,5,0.020700604259950448,-8.502798396725492e-05,-0.0008771340714685549,0.0007830935572251813,40.70634692119607
voynich_global,voynich_global,voynich,global,6,0.033325167426972085,6.5221380231125785e-06,-0.0009550574880582557,0.0008879092184610193,64.3582259233725
voynich_global,voynich_global,voynich,global,7,0.016561438187924604,2.9679476859453825e-05,-0.00131491010849695,0.0012903170526929603,25.991172744497632
voynich_global,voynich_global,voynich,global,8,0.007148594013076326,2.4957326691987524e-05,-0.0009020698273304595,0.0009774625867723097,12.58154806816833
voynich_global,voynich_global,voynich,global,9,0.0021003662774961157,0.00010878244991281205,-0.0010165412490262815,0.0014581893499211601,3.0418597535870435
voynich_global,voynich_global,voynich,global,10,0.009723399165533164,-0.00011156572339051568,-0.0008960698610154805,0.0009208304444116994,17.986475873395705
voynich_global,voynich_global,voynich,global,11,0.015534822867032963,-6.888195821997844e-05,-0.0008852383231473665,0.0012344897669045174,29.4191775237018
voynich_global,voynich_global,voynich,global,12,0.01723213371512057,-0.00012738135538945428,-0.0011459003573368876,0.0008903022813728789,33.07437862015551
voynich_global,voynich_global,voynich,global,13,0.013974676663440488,-9.20067106170841e-05,-0.0010097645787539994,0.0007131851111150528,29.112529239524108
voynich_global,voynich_global,voynich,global,14,0.009485009082320778,-7.448781374301883e-05,-0.0014740523750933904,0.0009746373931425328,15.21008767874053
voynich_global,voynich_global,voynich,global,15,0.009172185967680671,9.53833780080554e-05,-0.0010403133796800523,0.001345735803215592,13.33466571245352
voynich_global,voynich_global,voynich,global,16,0.010321279191317118,-2.0444516319826635e-05,-0.0010555880193924838,0.0009441091544036412,18.511908538385754
voynich_global,voynich_global,voynich,global,17,0.010248630936874364,1.4200461956878906e-05,-0.0009037854200029533,0.0009653929768894121,18.621554084090448
voynich_global,voynich_global,voynich,global,18,0.00971651667870102,6.513593342752838e-05,-0.0013576399676203665,0.0011276493127421738,16.96382297507743
voynich_global,voynich_global,voynich,global,19,0.011408637959156809,4.44367540985105e-05,-0.0007933607250949076,0.0008356609220965955,23.581566177814008
voynich_global,voynich_global,voynich,global,20,0.009811389101210627,-0.0001296629807629901,-0.001262883187002392,0.0009300420185843483,16.295444016937125
voynich_global,voynich_global,voynich,global,21,0.010219094220323618,3.812473347082096e-05,-0.0009439976115094284,0.0012071688219401633,15.770861216409097
voynich_global,voynich_global,voynich,global,22,0.00910740383816648,-0.00014380880992276385,-0.0013508701028223102,0.0013015528437689688,14.063768587193746
voynich_global,voynich_global,voynich,global,23,0.01095097591473071,-9.331517313626304e-06,-0.0007813577075163058,0.0010774365824346849,19.84600469517913
voynich_global,voynich_global,voynich,global,24,0.009907155418909436,5.486768022805205e-05,-0.0011464627221821483,0.0010099587668451898,15.535474668330448
voynich_global,voynich_global,voynich,global,25,0.008273307314269271,-3.6320922990529524e-05,-0.001140853086733229,0.0014280692190312,11.734036008003441
voynich_global,voynich_global,voynich,global,26,0.01061293824984856,-4.8771554400602044e-05,-0.0010830292520702806,0.0012196143498700018,18.335961731283422
voynich_global,voynich_global,voynich,global,27,0.009579542520894352,-8.276900778788065e-06,-0.0011870694946864158,0.0010163787451657191,16.078369862493044
voynich_global,voynich_global,voynich,global,28,0.009794066993324566,-0.00013152707926426975,-0.001452976350086177,0.0010115568245144951,15.46115642887842
voynich_global,voynich_global,voynich,global,29,0.009230590823766358,6.749217926670408e-05,-0.0006954727949391032,0.0008866404488629687,19.019299169530857
voynich_global,voynich_global,voynich,global,30,0.007795114409045428,1.8073446196586462e-05,-0.0009666013834512266,0.0012629889880601541,11.564761589591514
voynich_global,voynich_global,voynich,global,31,0.010761389976149172,3.1626094657499495e-05,-0.0010393138888424025,0.001169401923056479,16.368507084521536
voynich_global,voynich_global,voynich,global,32,0.010323227894378603,-1.3198353447893274e-05,-0.0010545897994593822,0.0011123649242408273,19.027871304693896
voynich_global,voynich_global,voynich,global,33,0.008402125441643482,5.309248287329538e-05,-0.0010228714253935345,0.0009770032560885433,15.377632211187207
voynich_global,voynich_global,voynich,global,34,0.009311127566687671,6.476573890756981e-05,-0.0011060286279956366,0.0010818352544967602,14.100172727246909
voynich_global,voynich_global,voynich,global,35,0.008361228422890818,-0.00010840762744595722,-0.0010220935968470318,0.0015260762115180404,13.888620085738879
voynich_global,voynich_global,voynich,global,36,0.009567875969858947,-6.425620147501282e-05,-0.0012880106986526835,0.001489926630663413,13.737197638115294
voynich_global,voynich_global,voynich,global,37,0.010153152155291764,-3.284529651179618e-05,-0.0010160940380787298,0.0012135778294150718,18.484959818990482
voynich_global,voynich_global,voynich,global,38,0.01037813430735958,7.647431581882719e-05,-0.0008277223976172338,0.0008432347997698181,21.698613493088153
voynich_global,voynich_global,voynich,global,39,0.008550963785173366,-5.79570841466423e-05,-0.0009474331318945067,0.0008018593184726114,15.69031362194886
voynich_global,voynich_global,voynich,global,40,0.010149272209536597,-0.00013213036480869912,-0.0013491220882624055,0.0007291526304133711,16.602495965256065
voynich_global,voynich_global,voynich,global,41,0.010076613952351932,4.1314428582207854e-05,-0.001521055025841725,0.0015232678081460727,15.21950936137728
voynich_global,voynich_global,voynich,global,42,0.010165832295969776,6.095894973468796e-06,-0.000920155913092191,0.001283464917913077,16.82472523814797
voynich_global,voynich_global,voynich,global,43,0.00828118184676399,0.00011562744002152236,-0.0008153288946381732,0.0018008317720911715,13.266513422800934
voynich_global,voynich_global,voynich,global,44,0.010177170823457288,-6.705766621114995e-05,-0.000992483643098993,0.0008404049580049006,19.123381625550746
voynich_global,voynich_global,voynich,global,45,0.009425660019356616,0.00010200466687621756,-0.0008302146542726319,0.0011019002282339346,18.127649410930005
voynich_global,voynich_global,voynich,global,46,0.009692423446340137,-0.00014428588373467804,-0.0010909226807936656,0.0008934218849743075,15.993432136602582
voynich_global,voynich_global,voynich,global,47,0.00866413696954843,-0.0002161646524006,-0.00116364191064873,0.000998260563528544,15.56167267528972
voynich_global,voynich_global,voynich,global,48,0.010267734769936254,-2.4228028436544812e-05,-0.001455686484704788,0.0009934380446611907,15.513928827805888
voynich_global,voynich_global,voynich,global,49,0.008456134379216176,8.426238188987773e-05,-0.0015754067495802326,0.0012758277409574414,12.424641020787478
voynich_global,voynich_global,voynich,global,50,0.00899966794394777,-7.764477962202005e-05,-0.0008595973110196997,0.0008532411442924437,16.621873261977644
voynich_global,voynich_global,voynich,global,51,0.009527540898253598,4.3275072692502694e-05,-0.0009636494262474093,0.0010050806645126031,17.071663942660688
voynich_global,voynich_global,voynich,global,52,0.009084104487443775,5.118944616291587e-05,-0.0011408123502474055,0.0011464775245783182,13.854427392270349
voynich_global,voynich_global,voynich,global,53,0.009883535210128719,0.00013190067709341612,-0.0007226519935142339,0.0012878758614353059,17.69378138939012
voynich_global,voynich_global,voynich,global,54,0.009544539577848912,-6.144712648704393e-05,-0.0011191469661661901,0.0009331688084655149,16.82074990600599
voynich_global,voynich_global,voynich,global,55,0.008871319296807997,4.276428088028916e-05,-0.0007688707914472598,0.0011581227852408282,16.06995621312604
voynich_global,voynich_global,voynich,global,56,0.008709870728812935,-2.4730214322161437e-05,-0.0012959259488029978,0.0008869670633282339,14.276145635907204
voynich_global,voynich_global,voynich,global,57,0.007718081236597368,-6.339854281437546e-05,-0.001060536744686022,0.0006889201403407069,14.210555294293016
voynich_global,voynich_global,voynich,global,58,0.010695219224686026,-7.549145505544863e-07,-0.0010601479803983849,0.0012376581369881873,16.774881231350395
voynich_global,voynich_global,voynich,global,59,0.009123752898495721,-0.00012559170110945455,-0.0010806484676615935,0.0015305084837604621,13.079307302896916
voynich_global,voynich_global,voynich,global,60,0.009322643817349915,-7.015457416898435e-05,-0.0014197119807543568,0.0009825649599981973,14.904038919016509
voynich_section,voynich_108v,voynich,108v,1,0.0004906249652441852,2.793353481080563e-05,-0.007655350922667212,0.009288278924188431,0.10427872593298179
voynich_section,voynich_108v,voynich,108v,2,-0.061735178512609595,-0.000711710455243246,-0.007302323232296709,0.0070392673804803435,-15.42283594213782
voynich_section,voynich_108v,voynich,108v,3,-0.06270387459136188,-0.0010605749500185574,-0.010535632009033874,0.007723252894780944,-13.020578980606425
voynich_section,voynich_108v,voynich,108v,4,-0.03529746871060911,-0.0006855965644903996,-0.011814102761489753,0.00938615816479857,-6.938104408397263
voynich_section,voynich_108v,voynich,108v,5,0.023121926668271398,-0.00010808964494231272,-0.010483293560113613,0.00844003433548185,4.594377789642825
voynich_section,voynich_108v,voynich,108v,6,0.06428180468121124,-9.15634650028807e-05,-0.011762581741765268,0.01173611277520599,11.04327749626677
voynich_section,voynich_108v,voynich,108v,7,0.025808094628864048,0.0001796258074471227,-0.009451454832448428,0.009810706447342651,5.5478169831592385
voynich_section,voynich_108v,voynich,108v,8,-0.024121182836972593,0.0004248654974493485,-0.010731241622080362,0.012782801486998674,-3.7114518604469064
voynich_section,voynich_108v,voynich,108v,9,-0.030306539543231203,0.0004154467357625835,-0.00939833960856934,0.008569644710280697,-6.549508317773694
voynich_section,voynich_108v,voynich,108v,10,-0.02309724615583378,-0.0002933245872063303,-0.008064566417271699,0.012196871491225031,-4.392423429845393
voynich_section,voynich_108v,voynich,108v,11,0.017134086651888855,0.0007234949552559638,-0.009018250713263148,0.00765386435702127,3.3350407564848257
voynich_section,voynich_108v,voynich,108v,12,0.026325675399969717,3.398148237650583e-05,-0.008010492029722899,0.009648108362690436,5.829073607389124
voynich_section,voynich_108v,voynich,108v,13,0.012952129433459844,-0.00033540736732524723,-0.009619018751034783,0.01393348370235091,2.27001920821922
voynich_section,voynich_108v,voynich,108v,14,-0.00762912173328989,-4.4043199258481105e-05,-0.011555823303970522,0.01233161125100328,-1.2916325558872206
voynich_section,voynich_108v,voynich,108v,15,-0.01251189908738283,-0.00011255375186728479,-0.011202570118479388,0.01072869011065318,-2.2523593249594187
voynich_section,voynich_108v,voynich,108v,16,-0.005282615391936862,-0.0008818295373199708,-0.008229570205296383,0.008469840403740908,-0.982973898951393
voynich_section,voynich_108v,voynich,108v,17,0.010467617719621417,-0.00013179269636286544,-0.012460649558465722,0.009484977693417662,1.9667285107467005
voynich_section,voynich_108v,voynich,108v,18,0.003947700263100776,9.299214607972617e-06,-0.008175497639913654,0.008534856226403528,0.9131110506235908
voynich_section,voynich_108v,voynich,108v,19,0.012500532778748907,9.148656439295216e-05,-0.00945948033170671,0.011517248609623998,2.3892144650839118
voynich_section,voynich_108v,voynich,108v,20,-0.013039386946576303,0.00024585895506303636,-0.012383649241658273,0.010239301578013837,-2.200513818144094
voynich_section,voynich_108v,voynich,108v,21,-0.0018627044546009747,0.0010103686841330364,-0.010390090482806924,0.014208138444710278,-0.5304148994157258
voynich_section,voynich_108v,voynich,108v,22,0.00079112809150296,-0.000134068758890753,-0.007739055635531178,0.008993227829035763,0.2049657484596202
voynich_section,voynich_108v,voynich,108v,23,-0.000491597398135743,-0.00011089506797494181,-0.009680963988224378,0.01132330250340674,-0.07446495869784901
voynich_section,voynich_108v,voynich,108v,24,0.020220895283276336,5.674557874580238e-05,-0.008341153305036195,0.009715314193322291,3.9303396844142693
voynich_section,voynich_108v,voynich,108v,25,0.014017599782541579,0.0007959249056942791,-0.008314091514666958,0.010733527532952078,2.475954787499321
voynich_section,voynich_108v,voynich,108v,26,-0.009272557278968974,0.00016896703114929079,-0.008615527055578692,0.009452804087653907,-1.9977039895200575
voynich_section,voynich_108v,voynich,108v,27,-0.00727404536713841,-0.00047154783181143495,-0.01088889912987255,0.008171238891816576,-1.5697693497067258
voynich_section,voynich_108v,voynich,108v,28,-0.007575337195010787,0.0004325523513402918,-0.008890261586858253,0.009518679899006288,-1.5448593072924597
voynich_section,voynich_108v,voynich,108v,29,-0.0003135256304648004,-0.0006226344762392214,-0.011165219152332637,0.009880489496138276,0.05815312717496681
voynich_section,voynich_108v,voynich,108v,30,-0.009494304979363183,-0.0008890418214684559,-0.00883641024252109,0.008597800283794713,-1.9370761953038667
voynich_section,voynich_108v,voynich,108v,31,0.007643322529685845,0.0003580313154706338,-0.012100014094203596,0.008959544971278474,1.4385799372615269
voynich_section,voynich_108v,voynich,108v,32,0.009321527805363605,-0.0005073069543467357,-0.007465832299968875,0.009321527805363605,1.9780562738237164
voynich_section,voynich_108v,voynich,108v,33,-0.005133504847654263,-0.0011624808107757716,-0.009084772546040842,0.008695932096698722,-0.7968826092300098
voynich_section,voynich_108v,voynich,108v,34,-0.00839911393851997,-0.00011848152745278507,-0.011034160051826947,0.0074111627413219194,-1.5070216747217222
voynich_section,voynich_108v,voynich,108v,35,-0.00936044995465149,1.6815284228239026e-05,-0.009689939246249543,0.009420439666435826,-1.8217804385480918
voynich_section,voynich_108v,voynich,108v,36,0.012090236879568922,-0.0005729140762649728,-0.008015234445414618,0.0071462685209663784,2.7048372814633193
voynich_section,voynich_108v,voynich,108v,37,0.01805886020362396,0.0009075248920512488,-0.007658251566900309,0.01113502241925203,3.266259179550437
voynich_section,voynich_108v,voynich,108v,38,-0.001364357749811737,-0.00029575616669828386,-0.010599186245853959,0.009189731959950792,-0.20610416050035318
voynich_section,voynich_108v,voynich,108v,39,-0.004304186206680896,-4.816509153739379e-05,-0.007603427381210767,0.01153217143106243,-0.8191339674901469
voynich_section,voynich_108v,voynich,108v,40,-0.007575988147680013,0.00060883033416816,-0.007245955144379687,0.011565926043739114,-1.590453305076469
voynich_section,voynich_108v,voynich,108v,41,-0.008538956679594284,-0.00023918777896702215,-0.007218388835421308,0.008958567255697866,-1.8461903183508246
voynich_section,voynich_108v,voynich,108v,42,0.015266263052340912,0.0002530530127107822,-0.00785130630036715,0.008330992246528487,2.9532723968215335
voynich_section,voynich_108v,voynich,108v,43,0.011997683788393665,-8.688839528655013e-05,-0.00881500203915836,0.007372642493382098,2.813645695951259
voynich_section,voynich_108v,voynich,108v,44,-0.001848072328999667,-8.336644664673625e-05,-0.00944886545523893,0.009718351993538307,-0.3143150298889863
voynich_section,voynich_108v,voynich,108v,45,-0.005124470268619383,-0.0014418256405202181,-0.010413726466966505,0.006445777665264912,-0.8442232304545066
voynich_section,voynich_108v,voynich,108v,46,-0.002119966355024566,0.0007305627455045316,-0.007080283815342037,0.012099610364552135,-0.5389266064523477
voynich_section,voynich_108v,voynich,108v,47,-0.0010982580061577596,0.00027785843446412995,-0.007383405210921248,0.009818050296852496,-0.26959819683001957
voynich_section,voynich_108v,voynich,108v,48,0.002902286681788366,0.00031459641044488006,-0.00967216732218254,0.013491300579869081,0.5176748775545236
voynich_section,voynich_108v,voynich,108v,49,0.003926333881941024,0.0003447383837616,-0.008983298690055014,0.010215642058041638,0.660399319795227
voynich_section,voynich_108v,voynich,108v,50,0.00627556257030569,-0.0007906625952572319,-0.0089562255091645,0.0066066883981202446,1.597010555303404
voynich_section,voynich_108v,voynich,108v,51,-0.0013107176988067099,-0.00080723972596803,-0.011910253969094883,0.010944996113713995,-0.08487191195139995
voynich_section,voynich_108v,voynich,108v,52,-0.007245299015148476,0.0013564239802126843,-0.011221442156301553,0.008659273549463858,-1.5535641996169207
voynich_section,voynich_108v,voynich,108v,53,-0.0005885210880804542,-9.796755808377522e-05,-0.011857994074490813,0.008360766283480703,-0.09215360571988669
voynich_section,voynich_108v,voynich,108v,54,0.0014307613336341646,-0.0007244110801589487,-0.008184623281750458,0.009719886002069175,0.39191385335269135
voynich_section,voynich_108v,voynich,108v,55,0.008094832665744608,-1.1303320988401144e-05,-0.007162215427124391,0.008426507624285234,1.867934944364349
voynich_section,voynich_108v,voynich,108v,56,0.01244083105248818,0.0017308111453879693,-0.009125194163172076,0.013767971065759554,1.8903604805880747
voynich_section,voynich_108v,voynich,108v,57,-0.00013693690767384303,0.0009384032848253235,-0.008102419815075118,0.011147497211144608,-0.2029769347653812
voynich_section,voynich_108v,voynich,108v,58,0.0018851770923499628,0.0002317906381666887,-0.008406987582284836,0.009189293958219796,0.36743665977130513
voynich_section,voynich_108v,voynich,108v,59,0.007561905581912137,-0.0008273338734183242,-0.00804752650045254,0.006565558853250553,2.085637524518047
voynich_section,voynich_108v,voynich,108v,60,0.005601209970802934,-9.314218866551898e-05,-0.010677859796638961,0.007926791366151736,1.2054779124570372
voynich_section,voynich_111r,voynich,111r,1,-0.0035144551232683258,7.810358365451658e-05,-0.012358614928086861,0.008074443931321493,-0.7438621823249422
voynich_section,voynich_111r,voynich,111r,2,-0.061755455175182244,0.0006057406759464915,-0.00897937219775699,0.008104215355629232,-12.893873652720847
voynich_section,voynich_111r,voynich,111r,3,-0.04893038321003905,-0.0002273011227641053,-0.00895479578251386,0.008134004949863285,-10.76022980491334
voynich_section,voynich_111r,voynich,111r,4,-0.013203708636858519,-0.0019521823853322756,-0.012287957721107606,0.008469063035913119,-2.115485213496308
voynich_section,voynich_111r,voynich,111r,5,0.035369211233771264,-0.0006552162471447628,-0.007378880369282165,0.009720356271939207,7.970871576756302
voynich_section,voynich_111r,voynich,111r,6,0.058315113950992786,-0.0002065720600029519,-0.009491850007467828,0.007307172594853514,11.502386771518355
voynich_section,voynich_111r,voynich,111r,7,0.007947815264436234,-0.0009308892879621855,-0.008856339944851882,0.007031224980293238,2.0980255915083763
voynich_section,voynich_111r,voynich,111r,8,-0.015861028225718457,-0.000512617467772247,-0.006997947541121874,0.0058382382779490205,-4.197337699642961
voynich_section,voynich_111r,voynich,111r,9,-0.01216990769477265,-0.0009439829011315681,-0.008501304821033728,0.005867389767777037,-2.450548562120676
voynich_section,voynich_111r,voynich,111r,10,0.0019210239190666917,0.00032469364383733184,-0.008476529597752872,0.007425611075029995,0.3950655831538239
voynich_section,voynich_111r,voynich,111r,11,0.007149362037411289,0.0002665232487909183,-0.009369451055277603,0.008678881768215824,1.5411209738682121
voynich_section,voynich_111r,voynich,111r,12,0.02400880684983077,-1.8120934746956863e-05,-0.011180911632421367,0.011462907217027835,4.284595800506033
voynich_section,voynich_111r,voynich,111r,13,0.002004988390020321,0.0011112020416885141,-0.006565565635079165,0.008126812693662819,0.20215163936620636
voynich_section,voynich_111r,voynich,111r,14,-0.002865948146005562,-0.0008022616793797261,-0.009908201667132327,0.009687634217742117,-0.3834680076832497
voynich_section,voynich_111r,voynich,111r,15,-0.006208474842237285,-1.5519252650764705e-05,-0.00835242583764309,0.008492903411974062,-1.3600451747131403
