label,family,lag,observed,null_mean,null_q025,null_q975,z_score
voynich,voynich,1,-0.024950117808598057,-1.9422545868742065e-05,-0.001766710230880958,0.0018137850510082099,-26.565697203957892
voynich,voynich,2,-0.01307014395977224,2.7261048191160737e-05,-0.0017657024159495882,0.001898661050586184,-13.717694073047193
voynich,voynich,3,-0.017104909651246544,9.459376128726806e-06,-0.001704818639822206,0.0017799608969775171,-18.371507248360327
voynich,voynich,4,0.006044228979997748,7.225207768537002e-06,-0.0018954153526769268,0.0019247151784289734,5.986733333615539
voynich,voynich,5,0.003662210999310425,2.3433216210215317e-05,-0.0017746543005554422,0.0019137917619086453,3.925901343688772
voynich,voynich,6,-0.0007197921799441398,2.4462517491875175e-05,-0.0016538903560575635,0.0017232338191217472,-0.8318001003980912
voynich,voynich,7,0.0021793624094013364,-1.4537137914897545e-05,-0.0017247356960332638,0.0017123077280763177,2.4535588108523134
voynich,voynich,8,-0.0028734141360997334,-0.00014320731222935794,-0.0018913899687244828,0.0018570681335736694,-2.9021036052257174
voynich,voynich,9,-0.0008364913469072754,-2.861709541026776e-05,-0.0017706230834342168,0.002109616437523859,-0.8193117231191539
voynich,voynich,10,-0.001877400940790322,-8.456402532379843e-06,-0.0019732104714433873,0.0018831231373423463,-2.0048558814468143
voynich,voynich,11,0.0003032985838781199,-9.40351677100066e-06,-0.0016727966519359122,0.0017763877596667782,0.3360573500148663
voynich,voynich,12,-0.00013879838235671127,-4.1459555812051044e-05,-0.0020071289810608545,0.0015858144779855726,-0.11115479412394516
voynich,voynich,13,-0.0017067083718972503,-4.2437029557494744e-05,-0.001802521344973787,0.0018263950103006993,-1.8171175334315486
voynich,voynich,14,-0.0007954655477361017,9.492833005252943e-06,-0.001957211760084135,0.001935236889535577,-0.8776029829348347
voynich,voynich,15,0.0004990601768208452,-7.293573149211273e-06,-0.00204004442949815,0.001852450839622946,0.544530835662964
voynich,voynich,16,0.0008234757011388455,4.032621555323159e-05,-0.0017515904720732806,0.0018415251184552561,0.8282102232107277
voynich,voynich,17,-0.0008882242247533617,-2.134476324807063e-05,-0.0017266279041477928,0.0020581658485470528,-0.9254446351271606
voynich,voynich,18,0.00029855085384769553,-1.7809184391334721e-06,-0.0019531888546238385,0.001735831518829542,0.32154220082305196
voynich,voynich,19,0.0007786829039442417,-1.8029277155294198e-05,-0.0018324082446963125,0.001736881490601333,0.8460404923592626
voynich,voynich,20,-0.0008612133099928088,-8.572192789456503e-05,-0.0017834904962089615,0.001917595874450645,-0.8425338250302973
voynich,voynich,21,0.001655137124781006,4.9936377368207007e-05,-0.0017944604221718785,0.0019066702792463197,1.6116425974530804
voynich,voynich,22,-8.061117796276385e-05,-1.0630222843998928e-05,-0.0019850993018622753,0.0015962966040871246,-0.07713207955436945
voynich,voynich,23,0.0011062446505657186,-1.0798925602745167e-05,-0.001828379118689022,0.0017889938540249922,1.241489549789325
voynich,voynich,24,-0.00023427121987380783,-8.696930935095573e-05,-0.001887262775243037,0.001586415130967661,-0.16113605612871842
voynich,voynich,25,-0.0004009415753851997,8.38835609867302e-06,-0.0017185593224984252,0.0016952684768403586,-0.4559064158428116
voynich,voynich,26,-0.00031606770441588994,-2.2115642319421105e-05,-0.0019211849139076503,0.0017801674572337917,-0.30919650482907257
voynich,voynich,27,0.0009307353219131509,3.015196262612343e-05,-0.0016326915245926804,0.0018650684715741661,0.9790274325192665
voynich,voynich,28,-0.0011884671667126562,6.002051311867596e-05,-0.001739490752917905,0.0019140351990951376,-1.3378901052410628
voynich,voynich,29,0.0006093854667868492,4.150680011576133e-06,-0.001762440120180092,0.00179529826027032,0.6713059734301712
voynich,voynich,30,-0.000635400219467494,1.1889312369079558e-07,-0.0016296622494390983,0.0016645794161294775,-0.7105203111385562
voynich,voynich,31,0.00010833215207334268,0.00011432175412418526,-0.002011986973923921,0.001989067196037031,-0.005891143772690131
voynich,voynich,32,-0.0007890882793765291,-5.978559720060665e-05,-0.0018792089114069294,0.0017385540652213732,-0.7923242023766307
voynich,voynich,33,0.00040988073235649625,-4.144659525862352e-05,-0.0018782020698860508,0.002218783890150358,0.45472976746558447
voynich,voynich,34,-0.00031984270349329214,-6.216076279248452e-05,-0.0019251137427265946,0.0016448173743743577,-0.2760719103770057
voynich,voynich,35,2.8596408912992533e-05,5.875550036662295e-05,-0.001804309645666885,0.00186150246349287,-0.031699440919891395
voynich,voynich,36,0.0008802005792209466,5.4963676270287087e-05,-0.001839241635626987,0.0018625541546285762,0.8283942836889804
